# PLGA Optimization Results
# Drug: xanthone
# Priority: size
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 09:58:16
# Total formulations evaluated: 448
# Models trained on train set | Evaluated on test set during main.py
#
polymer_MW (kDa),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
50,0.5,0.2,177.0,42.9,6.6,64.61
100,0.5,0.2,177.0,42.9,6.6,64.61
10,0.5,0.2,177.0,42.9,6.6,64.61
20,0.5,0.2,177.0,42.9,6.6,64.61
10,0.5,0.35,177.0,42.3,8.5,64.59
50,0.5,0.35,177.0,42.3,8.5,64.59
150,0.5,0.35,177.0,42.3,8.5,64.59
30,0.5,0.35,177.0,42.3,8.5,64.59
75,0.5,0.35,177.0,42.3,8.5,64.59
100,0.5,0.35,177.0,42.3,8.5,64.59
20,0.5,0.35,177.0,42.3,8.5,64.59
75,1.5,0.3,177.1,42.6,9.1,64.58
100,1.5,0.3,177.1,42.6,9.1,64.58
150,1.5,0.3,177.1,42.6,9.1,64.58
30,1.5,0.3,177.1,42.6,9.1,64.58
10,1.5,0.3,177.1,42.6,9.1,64.58
20,1.5,0.3,177.1,42.6,9.1,64.58
50,1.5,0.3,177.1,42.6,9.1,64.58
20,0.5,0.4,177.2,42.1,8.9,64.57
30,1.5,0.25,177.1,42.7,8.1,64.57
10,0.5,0.4,177.2,42.1,8.9,64.57
10,1.5,0.25,177.1,42.7,8.1,64.57
30,0.5,0.4,177.2,42.1,8.9,64.57
50,0.5,0.4,177.2,42.1,8.9,64.57
20,1.5,0.25,177.1,42.7,8.1,64.57
100,0.5,0.4,177.2,42.1,8.9,64.57
75,1.5,0.25,177.1,42.7,8.1,64.57
150,0.5,0.4,177.2,42.1,8.9,64.57
50,1.5,0.25,177.1,42.7,8.1,64.57
100,1.5,0.25,177.1,42.7,8.1,64.57
150,1.5,0.25,177.1,42.7,8.1,64.57
75,0.5,0.4,177.2,42.1,8.9,64.57
75,0.5,0.15,177.5,43.3,6.2,64.49
