# PLGA Optimization Results
# Drug: xanthone
# Priority: balanced
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 08:57:47
# Total formulations evaluated: 448
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
10000,1.0,0.3,175.0,42.6,8.3,47.07
30000,1.0,0.3,175.0,42.6,8.3,47.07
50000,1.0,0.3,175.0,42.6,8.3,47.07
75000,1.0,0.3,175.0,42.6,8.3,47.07
20000,1.0,0.3,175.0,42.6,8.3,47.07
150000,1.0,0.3,175.0,42.6,8.3,47.07
100000,1.0,0.3,175.0,42.6,8.3,47.07
150000,0.5,0.35,177.0,42.3,8.5,47.05
20000,0.5,0.35,177.0,42.3,8.5,47.05
75000,0.5,0.35,177.0,42.3,8.5,47.05
100000,0.5,0.35,177.0,42.3,8.5,47.05
10000,0.5,0.35,177.0,42.3,8.5,47.05
50000,0.5,0.35,177.0,42.3,8.5,47.05
30000,0.5,0.35,177.0,42.3,8.5,47.05
20000,0.75,0.35,176.4,42.1,8.5,47.03
30000,0.75,0.35,176.4,42.1,8.5,47.03
75000,0.75,0.35,176.4,42.1,8.5,47.03
150000,0.75,0.35,176.4,42.1,8.5,47.03
100000,0.75,0.35,176.4,42.1,8.5,47.03
10000,0.75,0.35,176.4,42.1,8.5,47.03
50000,0.75,0.35,176.4,42.1,8.5,47.03
75000,0.5,0.3,175.8,42.3,8.3,46.96
100000,0.5,0.3,175.8,42.3,8.3,46.96
10000,0.5,0.3,175.8,42.3,8.3,46.96
20000,0.5,0.3,175.8,42.3,8.3,46.96
150000,0.5,0.3,175.8,42.3,8.3,46.96
50000,0.5,0.3,175.8,42.3,8.3,46.96
30000,0.5,0.3,175.8,42.3,8.3,46.96
50000,0.75,0.3,175.1,42.0,8.3,46.91
100000,0.75,0.3,175.1,42.0,8.3,46.91
30000,0.75,0.3,175.1,42.0,8.3,46.91
20000,0.75,0.3,175.1,42.0,8.3,46.91
75000,0.75,0.3,175.1,42.0,8.3,46.91
150000,0.75,0.3,175.1,42.0,8.3,46.91
10000,0.75,0.3,175.1,42.0,8.3,46.91
150000,4.0,0.35,196.9,43.9,9.4,46.85
100000,4.0,0.35,196.9,43.9,9.4,46.85
10000,4.0,0.35,196.9,43.9,9.4,46.85
50000,4.0,0.35,196.9,43.9,9.4,46.85
30000,4.0,0.35,196.9,43.9,9.4,46.85
20000,4.0,0.35,196.9,43.9,9.4,46.85
75000,4.0,0.35,196.9,43.9,9.4,46.85
30000,3.0,0.4,200.4,43.3,9.9,46.82
75000,3.0,0.4,200.4,43.3,9.9,46.82
10000,3.0,0.4,200.4,43.3,9.9,46.82
150000,3.0,0.4,200.4,43.3,9.9,46.82
