# PLGA Optimization Results
# Drug: paeonol
# Priority: ee
# Min EE: 25.0%
# Max Size: 500 nm
# Date: 2026-04-04 03:49:38
# Total formulations evaluated: 392
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
30000,4.0,0.2,212.6,26.7,10.1,26.69
75000,3.0,0.2,212.6,26.7,10.1,26.69
30000,2.5,0.2,182.0,26.7,10.1,26.69
50000,2.5,0.2,182.0,26.7,10.1,26.69
10000,3.0,0.2,212.6,26.7,10.1,26.69
30000,3.0,0.2,212.6,26.7,10.1,26.69
50000,3.0,0.2,212.6,26.7,10.1,26.69
75000,2.5,0.2,182.0,26.7,10.1,26.69
50000,4.0,0.2,212.6,26.7,10.1,26.69
20000,4.0,0.2,212.6,26.7,10.1,26.69
10000,2.5,0.2,182.0,26.7,10.1,26.69
100000,4.0,0.2,212.6,26.7,10.1,26.69
20000,3.0,0.2,212.6,26.7,10.1,26.69
150000,2.5,0.2,182.0,26.7,10.1,26.69
100000,3.0,0.2,212.6,26.7,10.1,26.69
20000,2.5,0.2,182.0,26.7,10.1,26.69
100000,2.5,0.2,182.0,26.7,10.1,26.69
150000,3.0,0.2,212.6,26.7,10.1,26.69
10000,4.0,0.2,212.6,26.7,10.1,26.69
150000,4.0,0.2,212.6,26.7,10.1,26.69
75000,4.0,0.2,212.6,26.7,10.1,26.69
30000,4.0,0.35,219.1,26.7,7.6,26.66
100000,4.0,0.35,219.1,26.7,7.6,26.66
50000,2.5,0.3,181.4,26.7,7.7,26.66
100000,4.0,0.4,220.1,26.7,10.2,26.66
50000,2.5,0.35,181.5,26.7,7.6,26.66
50000,2.5,0.4,182.3,26.7,10.2,26.66
30000,4.0,0.4,220.1,26.7,10.2,26.66
30000,3.0,0.4,220.1,26.7,10.2,26.66
30000,4.0,0.3,217.8,26.7,7.7,26.66
150000,2.5,0.3,181.4,26.7,7.7,26.66
100000,4.0,0.3,217.8,26.7,7.7,26.66
150000,2.5,0.4,182.3,26.7,10.2,26.66
150000,3.0,0.3,217.8,26.7,7.7,26.66
150000,3.0,0.35,219.1,26.7,7.6,26.66
150000,3.0,0.4,220.1,26.7,10.2,26.66
150000,4.0,0.3,217.8,26.7,7.7,26.66
150000,4.0,0.35,219.1,26.7,7.6,26.66
150000,2.5,0.35,181.5,26.7,7.6,26.66
50000,3.0,0.3,217.8,26.7,7.7,26.66
100000,3.0,0.4,220.1,26.7,10.2,26.66
100000,2.5,0.3,181.4,26.7,7.7,26.66
75000,3.0,0.35,219.1,26.7,7.6,26.66
75000,3.0,0.3,217.8,26.7,7.7,26.66
75000,4.0,0.3,217.8,26.7,7.7,26.66
75000,4.0,0.35,219.1,26.7,7.6,26.66
75000,2.5,0.4,182.3,26.7,10.2,26.66
75000,2.5,0.35,181.5,26.7,7.6,26.66
75000,4.0,0.4,220.1,26.7,10.2,26.66
75000,2.5,0.3,181.4,26.7,7.7,26.66
100000,2.5,0.35,181.5,26.7,7.6,26.66
75000,3.0,0.4,220.1,26.7,10.2,26.66
10000,4.0,0.35,219.1,26.7,7.6,26.66
100000,2.5,0.4,182.3,26.7,10.2,26.66
50000,4.0,0.35,219.1,26.7,7.6,26.66
50000,4.0,0.3,217.8,26.7,7.7,26.66
100000,3.0,0.3,217.8,26.7,7.7,26.66
100000,3.0,0.35,219.1,26.7,7.6,26.66
50000,3.0,0.4,220.1,26.7,10.2,26.66
50000,3.0,0.35,219.1,26.7,7.6,26.66
10000,4.0,0.4,220.1,26.7,10.2,26.66
50000,4.0,0.4,220.1,26.7,10.2,26.66
30000,3.0,0.35,219.1,26.7,7.6,26.66
10000,2.5,0.35,181.5,26.7,7.6,26.66
10000,4.0,0.3,217.8,26.7,7.7,26.66
10000,3.0,0.4,220.1,26.7,10.2,26.66
20000,2.5,0.3,181.4,26.7,7.7,26.66
20000,2.5,0.35,181.5,26.7,7.6,26.66
20000,2.5,0.4,182.3,26.7,10.2,26.66
10000,3.0,0.35,219.1,26.7,7.6,26.66
20000,3.0,0.3,217.8,26.7,7.7,26.66
20000,3.0,0.35,219.1,26.7,7.6,26.66
30000,3.0,0.3,217.8,26.7,7.7,26.66
10000,3.0,0.3,217.8,26.7,7.7,26.66
20000,4.0,0.3,217.8,26.7,7.7,26.66
20000,4.0,0.35,219.1,26.7,7.6,26.66
20000,4.0,0.4,220.1,26.7,10.2,26.66
10000,2.5,0.4,182.3,26.7,10.2,26.66
20000,3.0,0.4,220.1,26.7,10.2,26.66
150000,4.0,0.4,220.1,26.7,10.2,26.66
30000,2.5,0.4,182.3,26.7,10.2,26.66
30000,2.5,0.35,181.5,26.7,7.6,26.66
30000,2.5,0.3,181.4,26.7,7.7,26.66
10000,2.5,0.3,181.4,26.7,7.7,26.66
100000,1.0,0.15,170.9,26.6,10.1,26.61
50000,0.75,0.15,170.9,26.6,10.1,26.61
