# PLGA Optimization Results
# Drug: tretinoin
# Priority: balanced
# Min EE: 30%
# Max Size: 500 nm
# Date: 2026-04-04 03:44:03
# Total formulations evaluated: 448
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
50000,0.75,0.3,175.0,69.6,15.4,62.33
100000,0.75,0.3,175.0,69.6,15.4,62.33
10000,0.75,0.3,175.0,69.6,15.4,62.33
20000,0.75,0.3,175.0,69.6,15.4,62.33
30000,0.75,0.3,175.0,69.6,15.4,62.33
75000,0.75,0.3,175.0,69.6,15.4,62.33
150000,0.75,0.3,175.0,69.6,15.4,62.33
20000,0.5,0.3,175.3,69.6,15.4,62.3
10000,0.5,0.3,175.3,69.6,15.4,62.3
30000,0.5,0.3,175.3,69.6,15.4,62.3
150000,0.5,0.3,175.3,69.6,15.4,62.3
50000,0.5,0.3,175.3,69.6,15.4,62.3
100000,0.5,0.3,175.3,69.6,15.4,62.3
75000,0.5,0.3,175.3,69.6,15.4,62.3
30000,1.0,0.3,175.1,69.6,15.3,62.14
50000,1.0,0.3,175.1,69.6,15.3,62.14
10000,1.0,0.3,175.1,69.6,15.3,62.14
20000,1.0,0.3,175.1,69.6,15.3,62.14
150000,1.0,0.3,175.1,69.6,15.3,62.14
100000,1.0,0.3,175.1,69.6,15.3,62.14
75000,1.0,0.3,175.1,69.6,15.3,62.14
10000,2.0,0.3,176.7,69.8,15.3,62.06
20000,2.0,0.3,176.7,69.8,15.3,62.06
100000,2.0,0.3,176.7,69.8,15.3,62.06
75000,2.0,0.3,176.7,69.8,15.3,62.06
50000,2.0,0.3,176.7,69.8,15.3,62.06
30000,2.0,0.3,176.7,69.8,15.3,62.06
150000,2.0,0.3,176.7,69.8,15.3,62.06
100000,1.5,0.3,176.7,69.7,15.3,62.03
30000,1.5,0.3,176.7,69.7,15.3,62.03
50000,1.5,0.3,176.7,69.7,15.3,62.03
10000,1.5,0.3,176.7,69.7,15.3,62.03
150000,1.5,0.3,176.7,69.7,15.3,62.03
75000,1.5,0.3,176.7,69.7,15.3,62.03
20000,1.5,0.3,176.7,69.7,15.3,62.03
150000,2.5,0.3,180.6,70.0,15.4,61.94
75000,2.5,0.3,180.6,70.0,15.4,61.94
10000,2.5,0.3,180.6,70.0,15.4,61.94
30000,2.5,0.3,180.6,70.0,15.4,61.94
50000,2.5,0.3,180.6,70.0,15.4,61.94
20000,2.5,0.3,180.6,70.0,15.4,61.94
100000,2.5,0.3,180.6,70.0,15.4,61.94
75000,4.0,0.35,209.3,71.7,15.8,60.6
10000,3.0,0.35,209.3,71.7,15.8,60.6
20000,3.0,0.35,209.3,71.7,15.8,60.6
150000,3.0,0.35,209.3,71.7,15.8,60.6
20000,4.0,0.35,209.3,71.7,15.8,60.6
100000,4.0,0.35,209.3,71.7,15.8,60.6
50000,3.0,0.35,209.3,71.7,15.8,60.6
150000,4.0,0.35,209.3,71.7,15.8,60.6
75000,3.0,0.35,209.3,71.7,15.8,60.6
30000,3.0,0.35,209.3,71.7,15.8,60.6
10000,4.0,0.35,209.3,71.7,15.8,60.6
100000,3.0,0.35,209.3,71.7,15.8,60.6
50000,4.0,0.35,209.3,71.7,15.8,60.6
30000,4.0,0.35,209.3,71.7,15.8,60.6
30000,4.0,0.3,203.9,70.0,15.4,60.08
10000,3.0,0.3,203.9,70.0,15.4,60.08
10000,4.0,0.3,203.9,70.0,15.4,60.08
30000,3.0,0.3,203.9,70.0,15.4,60.08
75000,3.0,0.3,203.9,70.0,15.4,60.08
50000,4.0,0.3,203.9,70.0,15.4,60.08
100000,4.0,0.3,203.9,70.0,15.4,60.08
50000,3.0,0.3,203.9,70.0,15.4,60.08
75000,4.0,0.3,203.9,70.0,15.4,60.08
20000,4.0,0.3,203.9,70.0,15.4,60.08
100000,3.0,0.3,203.9,70.0,15.4,60.08
150000,4.0,0.3,203.9,70.0,15.4,60.08
150000,3.0,0.3,203.9,70.0,15.4,60.08
20000,3.0,0.3,203.9,70.0,15.4,60.08
100000,0.5,0.25,176.9,69.6,12.8,59.51
150000,0.5,0.25,176.9,69.6,12.8,59.51
75000,0.5,0.25,176.9,69.6,12.8,59.51
10000,0.5,0.25,176.9,69.6,12.8,59.51
30000,0.5,0.25,176.9,69.6,12.8,59.51
50000,0.5,0.25,176.9,69.6,12.8,59.51
20000,0.5,0.25,176.9,69.6,12.8,59.51
100000,0.75,0.25,176.6,69.6,12.7,59.44
50000,0.75,0.25,176.6,69.6,12.7,59.44
75000,0.75,0.25,176.6,69.6,12.7,59.44
150000,0.75,0.25,176.6,69.6,12.7,59.44
30000,0.75,0.25,176.6,69.6,12.7,59.44
20000,0.75,0.25,176.6,69.6,12.7,59.44
10000,0.75,0.25,176.6,69.6,12.7,59.44
150000,1.0,0.25,176.7,69.6,12.6,59.39
50000,1.0,0.25,176.7,69.6,12.6,59.39
100000,1.0,0.25,176.7,69.6,12.6,59.39
30000,1.0,0.25,176.7,69.6,12.6,59.39
75000,1.0,0.25,176.7,69.6,12.6,59.39
20000,1.0,0.25,176.7,69.6,12.6,59.39
10000,1.0,0.25,176.7,69.6,12.6,59.39
50000,2.0,0.25,180.2,69.7,12.6,59.06
100000,2.0,0.25,180.2,69.7,12.6,59.06
150000,2.0,0.25,180.2,69.7,12.6,59.06
75000,2.0,0.25,180.2,69.7,12.6,59.06
10000,2.0,0.25,180.2,69.7,12.6,59.06
30000,2.0,0.25,180.2,69.7,12.6,59.06
20000,2.0,0.25,180.2,69.7,12.6,59.06
150000,1.5,0.25,180.2,69.6,12.6,59.04
50000,1.5,0.25,180.2,69.6,12.6,59.04
75000,1.5,0.25,180.2,69.6,12.6,59.04
30000,1.5,0.25,180.2,69.6,12.6,59.04
100000,1.5,0.25,180.2,69.6,12.6,59.04
20000,1.5,0.25,180.2,69.6,12.6,59.04
10000,1.5,0.25,180.2,69.6,12.6,59.04
50000,2.5,0.25,183.5,69.8,12.6,58.84
150000,2.5,0.25,183.5,69.8,12.6,58.84
75000,2.5,0.25,183.5,69.8,12.6,58.84
30000,2.5,0.25,183.5,69.8,12.6,58.84
100000,2.5,0.25,183.5,69.8,12.6,58.84
10000,2.5,0.25,183.5,69.8,12.6,58.84
20000,2.5,0.25,183.5,69.8,12.6,58.84
10000,0.75,0.15,178.8,71.1,10.7,57.75
75000,0.75,0.15,178.8,71.1,10.7,57.75
30000,0.75,0.15,178.8,71.1,10.7,57.75
20000,0.75,0.15,178.8,71.1,10.7,57.75
50000,0.75,0.15,178.8,71.1,10.7,57.75
100000,0.75,0.15,178.8,71.1,10.7,57.75
150000,0.75,0.15,178.8,71.1,10.7,57.75
100000,0.5,0.15,179.2,71.1,10.7,57.74
30000,0.5,0.15,179.2,71.1,10.7,57.74
150000,0.5,0.15,179.2,71.1,10.7,57.74
75000,0.5,0.15,179.2,71.1,10.7,57.74
10000,1.0,0.15,179.0,71.1,10.7,57.74
30000,1.0,0.15,179.0,71.1,10.7,57.74
20000,1.0,0.15,179.0,71.1,10.7,57.74
75000,1.0,0.15,179.0,71.1,10.7,57.74
100000,1.0,0.15,179.0,71.1,10.7,57.74
150000,1.0,0.15,179.0,71.1,10.7,57.74
50000,0.5,0.15,179.2,71.1,10.7,57.74
20000,0.5,0.15,179.2,71.1,10.7,57.74
50000,1.0,0.15,179.0,71.1,10.7,57.74
10000,0.5,0.15,179.2,71.1,10.7,57.74
150000,0.75,0.2,176.4,69.8,10.9,57.73
20000,0.75,0.2,176.4,69.8,10.9,57.73
30000,0.75,0.2,176.4,69.8,10.9,57.73
75000,0.75,0.2,176.4,69.8,10.9,57.73
50000,0.75,0.2,176.4,69.8,10.9,57.73
10000,0.75,0.2,176.4,69.8,10.9,57.73
100000,0.75,0.2,176.4,69.8,10.9,57.73
30000,1.0,0.2,176.6,69.8,10.9,57.72
50000,0.5,0.2,176.8,69.8,10.9,57.72
20000,1.0,0.2,176.6,69.8,10.9,57.72
75000,0.5,0.2,176.8,69.8,10.9,57.72
75000,1.0,0.2,176.6,69.8,10.9,57.72
150000,0.5,0.2,176.8,69.8,10.9,57.72
150000,1.0,0.2,176.6,69.8,10.9,57.72
30000,0.5,0.2,176.8,69.8,10.9,57.72
10000,1.0,0.2,176.6,69.8,10.9,57.72
10000,0.5,0.2,176.8,69.8,10.9,57.72
50000,1.0,0.2,176.6,69.8,10.9,57.72
100000,0.5,0.2,176.8,69.8,10.9,57.72
100000,1.0,0.2,176.6,69.8,10.9,57.72
20000,0.5,0.2,176.8,69.8,10.9,57.72
100000,1.5,0.15,180.8,71.1,10.7,57.56
100000,2.0,0.15,180.8,71.1,10.7,57.56
150000,2.0,0.15,180.8,71.1,10.7,57.56
50000,2.0,0.15,180.8,71.1,10.7,57.56
10000,1.5,0.15,180.8,71.1,10.7,57.56
75000,1.5,0.15,180.8,71.1,10.7,57.56
30000,2.0,0.15,180.8,71.1,10.7,57.56
10000,2.0,0.15,180.8,71.1,10.7,57.56
50000,1.5,0.15,180.8,71.1,10.7,57.56
75000,2.0,0.15,180.8,71.1,10.7,57.56
30000,1.5,0.15,180.8,71.1,10.7,57.56
20000,2.0,0.15,180.8,71.1,10.7,57.56
150000,1.5,0.15,180.8,71.1,10.7,57.56
20000,1.5,0.15,180.8,71.1,10.7,57.56
10000,2.0,0.2,178.4,69.9,10.9,57.55
20000,2.0,0.2,178.4,69.9,10.9,57.55
75000,2.0,0.2,178.4,69.9,10.9,57.55
150000,2.0,0.2,178.4,69.9,10.9,57.55
50000,2.0,0.2,178.4,69.9,10.9,57.55
30000,2.0,0.2,178.4,69.9,10.9,57.55
100000,2.0,0.2,178.4,69.9,10.9,57.55
150000,1.5,0.2,178.4,69.8,10.9,57.54
50000,2.5,0.15,181.6,71.3,10.7,57.54
100000,2.5,0.15,181.6,71.3,10.7,57.54
30000,1.5,0.2,178.4,69.8,10.9,57.54
75000,1.5,0.2,178.4,69.8,10.9,57.54
10000,2.5,0.15,181.6,71.3,10.7,57.54
100000,1.5,0.2,178.4,69.8,10.9,57.54
20000,1.5,0.2,178.4,69.8,10.9,57.54
30000,2.5,0.15,181.6,71.3,10.7,57.54
20000,2.5,0.15,181.6,71.3,10.7,57.54
50000,1.5,0.2,178.4,69.8,10.9,57.54
150000,2.5,0.15,181.6,71.3,10.7,57.54
75000,2.5,0.15,181.6,71.3,10.7,57.54
10000,1.5,0.2,178.4,69.8,10.9,57.54
100000,2.5,0.2,181.3,70.0,10.9,57.36
75000,2.5,0.2,181.3,70.0,10.9,57.36
50000,2.5,0.2,181.3,70.0,10.9,57.36
20000,2.5,0.2,181.3,70.0,10.9,57.36
30000,2.5,0.2,181.3,70.0,10.9,57.36
150000,2.5,0.2,181.3,70.0,10.9,57.36
10000,2.5,0.2,181.3,70.0,10.9,57.36
10000,3.0,0.25,203.3,69.8,12.6,57.26
30000,4.0,0.25,203.3,69.8,12.6,57.26
100000,4.0,0.25,203.3,69.8,12.6,57.26
20000,3.0,0.25,203.3,69.8,12.6,57.26
20000,4.0,0.25,203.3,69.8,12.6,57.26
100000,3.0,0.25,203.3,69.8,12.6,57.26
50000,3.0,0.25,203.3,69.8,12.6,57.26
30000,3.0,0.25,203.3,69.8,12.6,57.26
75000,3.0,0.25,203.3,69.8,12.6,57.26
75000,4.0,0.25,203.3,69.8,12.6,57.26
50000,4.0,0.25,203.3,69.8,12.6,57.26
150000,4.0,0.25,203.3,69.8,12.6,57.26
150000,3.0,0.25,203.3,69.8,12.6,57.26
10000,4.0,0.25,203.3,69.8,12.6,57.26
100000,4.0,0.15,188.3,71.3,10.7,57.01
150000,3.0,0.15,188.3,71.3,10.7,57.01
10000,4.0,0.15,188.3,71.3,10.7,57.01
30000,3.0,0.15,188.3,71.3,10.7,57.01
20000,3.0,0.15,188.3,71.3,10.7,57.01
150000,4.0,0.15,188.3,71.3,10.7,57.01
100000,3.0,0.15,188.3,71.3,10.7,57.01
30000,4.0,0.15,188.3,71.3,10.7,57.01
50000,3.0,0.15,188.3,71.3,10.7,57.01
20000,4.0,0.15,188.3,71.3,10.7,57.01
75000,4.0,0.15,188.3,71.3,10.7,57.01
75000,3.0,0.15,188.3,71.3,10.7,57.01
10000,3.0,0.15,188.3,71.3,10.7,57.01
50000,4.0,0.15,188.3,71.3,10.7,57.01
20000,4.0,0.2,195.1,70.0,10.9,56.26
30000,3.0,0.2,195.1,70.0,10.9,56.26
75000,3.0,0.2,195.1,70.0,10.9,56.26
150000,4.0,0.2,195.1,70.0,10.9,56.26
20000,3.0,0.2,195.1,70.0,10.9,56.26
30000,4.0,0.2,195.1,70.0,10.9,56.26
75000,4.0,0.2,195.1,70.0,10.9,56.26
50000,3.0,0.2,195.1,70.0,10.9,56.26
150000,3.0,0.2,195.1,70.0,10.9,56.26
10000,3.0,0.2,195.1,70.0,10.9,56.26
50000,4.0,0.2,195.1,70.0,10.9,56.26
100000,3.0,0.2,195.1,70.0,10.9,56.26
10000,4.0,0.2,195.1,70.0,10.9,56.26
100000,4.0,0.2,195.1,70.0,10.9,56.26
20000,0.75,0.1,179.3,70.9,7.1,54.05
30000,0.75,0.1,179.3,70.9,7.1,54.05
50000,0.75,0.1,179.3,70.9,7.1,54.05
100000,0.75,0.1,179.3,70.9,7.1,54.05
75000,0.75,0.1,179.3,70.9,7.1,54.05
10000,0.75,0.1,179.3,70.9,7.1,54.05
150000,0.75,0.1,179.3,70.9,7.1,54.05
30000,1.0,0.1,179.4,70.9,7.1,54.04
100000,1.0,0.1,179.4,70.9,7.1,54.04
50000,1.0,0.1,179.4,70.9,7.1,54.04
10000,1.0,0.1,179.4,70.9,7.1,54.04
150000,1.0,0.1,179.4,70.9,7.1,54.04
20000,1.0,0.1,179.4,70.9,7.1,54.04
75000,1.0,0.1,179.4,70.9,7.1,54.04
50000,0.5,0.1,179.7,70.9,7.1,54.01
10000,0.5,0.1,179.7,70.9,7.1,54.01
150000,0.5,0.1,179.7,70.9,7.1,54.01
100000,0.5,0.1,179.7,70.9,7.1,54.01
30000,0.5,0.1,179.7,70.9,7.1,54.01
75000,0.5,0.1,179.7,70.9,7.1,54.01
20000,0.5,0.1,179.7,70.9,7.1,54.01
150000,2.0,0.1,181.4,70.9,7.1,53.9
20000,2.0,0.1,181.4,70.9,7.1,53.9
75000,2.0,0.1,181.4,70.9,7.1,53.9
30000,2.0,0.1,181.4,70.9,7.1,53.9
50000,2.0,0.1,181.4,70.9,7.1,53.9
10000,2.0,0.1,181.4,70.9,7.1,53.9
100000,2.0,0.1,181.4,70.9,7.1,53.9
50000,1.5,0.1,181.4,70.9,7.1,53.88
30000,1.5,0.1,181.4,70.9,7.1,53.88
75000,1.5,0.1,181.4,70.9,7.1,53.88
150000,1.5,0.1,181.4,70.9,7.1,53.88
10000,1.5,0.1,181.4,70.9,7.1,53.88
20000,1.5,0.1,181.4,70.9,7.1,53.88
100000,1.5,0.1,181.4,70.9,7.1,53.88
50000,2.5,0.1,184.4,71.1,7.1,53.71
20000,2.5,0.1,184.4,71.1,7.1,53.71
100000,2.5,0.1,184.4,71.1,7.1,53.71
30000,2.5,0.1,184.4,71.1,7.1,53.71
75000,2.5,0.1,184.4,71.1,7.1,53.71
150000,2.5,0.1,184.4,71.1,7.1,53.71
10000,2.5,0.1,184.4,71.1,7.1,53.71
50000,4.0,0.1,196.4,71.1,7.1,52.75
75000,4.0,0.1,196.4,71.1,7.1,52.75
150000,4.0,0.1,196.4,71.1,7.1,52.75
10000,3.0,0.1,196.4,71.1,7.1,52.75
50000,3.0,0.1,196.4,71.1,7.1,52.75
10000,4.0,0.1,196.4,71.1,7.1,52.75
75000,3.0,0.1,196.4,71.1,7.1,52.75
20000,3.0,0.1,196.4,71.1,7.1,52.75
100000,4.0,0.1,196.4,71.1,7.1,52.75
20000,4.0,0.1,196.4,71.1,7.1,52.75
30000,3.0,0.1,196.4,71.1,7.1,52.75
150000,3.0,0.1,196.4,71.1,7.1,52.75
30000,4.0,0.1,196.4,71.1,7.1,52.75
100000,3.0,0.1,196.4,71.1,7.1,52.75
100000,4.0,0.05,186.1,69.9,1.8,47.84
75000,3.0,0.05,186.1,69.9,1.8,47.84
30000,3.0,0.05,186.1,69.9,1.8,47.84
150000,4.0,0.05,186.1,69.9,1.8,47.84
50000,4.0,0.05,186.1,69.9,1.8,47.84
75000,4.0,0.05,186.1,69.9,1.8,47.84
10000,4.0,0.05,186.1,69.9,1.8,47.84
30000,4.0,0.05,186.1,69.9,1.8,47.84
10000,3.0,0.05,186.1,69.9,1.8,47.84
50000,3.0,0.05,186.1,69.9,1.8,47.84
150000,3.0,0.05,186.1,69.9,1.8,47.84
20000,4.0,0.05,186.1,69.9,1.8,47.84
20000,3.0,0.05,186.1,69.9,1.8,47.84
100000,3.0,0.05,186.1,69.9,1.8,47.84
10000,2.5,0.05,188.4,69.9,1.8,47.65
75000,2.5,0.05,188.4,69.9,1.8,47.65
50000,2.5,0.05,188.4,69.9,1.8,47.65
150000,2.5,0.05,188.4,69.9,1.8,47.65
30000,2.5,0.05,188.4,69.9,1.8,47.65
100000,2.5,0.05,188.4,69.9,1.8,47.65
20000,2.5,0.05,188.4,69.9,1.8,47.65
150000,2.0,0.05,190.3,69.7,1.8,47.46
