# PLGA Optimization Results
# Drug: tretinoin
# Priority: size
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 11:32:41
# Total formulations evaluated: 448
# Models trained on train set | Evaluated on test set during main.py
#
polymer_MW (kDa),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
100,0.75,0.25,211.1,70.2,10.5,57.79
30,0.75,0.25,211.1,70.2,10.5,57.79
20,0.75,0.25,211.1,70.2,10.5,57.79
150,0.75,0.25,211.1,70.2,10.5,57.79
50,1.0,0.2,211.5,70.5,9.0,57.7
100,1.0,0.2,211.5,70.5,9.0,57.7
150,1.0,0.2,211.5,70.5,9.0,57.7
20,1.0,0.2,211.5,70.5,9.0,57.7
10,1.0,0.2,211.5,70.5,9.0,57.7
75,1.0,0.2,211.5,70.5,9.0,57.7
30,1.0,0.2,211.5,70.5,9.0,57.7
100,0.75,0.2,211.7,70.1,9.1,57.65
150,0.75,0.2,211.7,70.1,9.1,57.65
20,0.75,0.2,211.7,70.1,9.1,57.65
75,0.75,0.2,211.7,70.1,9.1,57.65
10,0.75,0.2,211.7,70.1,9.1,57.65
30,0.75,0.2,211.7,70.1,9.1,57.65
50,0.75,0.2,211.7,70.1,9.1,57.65
50,1.0,0.15,212.5,71.4,8.4,57.49
100,1.0,0.15,212.5,71.4,8.4,57.49
30,1.0,0.15,212.5,71.4,8.4,57.49
150,1.0,0.15,212.5,71.4,8.4,57.49
20,1.0,0.15,212.5,71.4,8.4,57.49
10,1.0,0.15,212.5,71.4,8.4,57.49
75,1.0,0.15,212.5,71.4,8.4,57.49
10,0.75,0.15,212.8,71.1,8.6,57.44
100,0.75,0.15,212.8,71.1,8.6,57.44
150,0.75,0.15,212.8,71.1,8.6,57.44
20,0.75,0.15,212.8,71.1,8.6,57.44
75,0.75,0.15,212.8,71.1,8.6,57.44
50,0.75,0.15,212.8,71.1,8.6,57.44
30,0.75,0.15,212.8,71.1,8.6,57.44
100,1.0,0.1,213.7,71.3,7.6,57.26
20,1.0,0.1,213.7,71.3,7.6,57.26
30,1.0,0.1,213.7,71.3,7.6,57.26
150,1.0,0.1,213.7,71.3,7.6,57.26
75,1.0,0.1,213.7,71.3,7.6,57.26
10,1.0,0.1,213.7,71.3,7.6,57.26
50,1.0,0.1,213.7,71.3,7.6,57.26
50,0.75,0.1,214.7,71.0,7.5,57.06
75,0.75,0.1,214.7,71.0,7.5,57.06
20,0.75,0.1,214.7,71.0,7.5,57.06
150,0.75,0.1,214.7,71.0,7.5,57.06
100,0.75,0.1,214.7,71.0,7.5,57.06
10,0.75,0.1,214.7,71.0,7.5,57.06
30,0.75,0.1,214.7,71.0,7.5,57.06
30,1.5,0.3,217.1,70.5,11.9,56.59
150,1.5,0.3,217.1,70.5,11.9,56.59
100,1.5,0.3,217.1,70.5,11.9,56.59
20,1.5,0.3,217.1,70.5,11.9,56.59
10,1.5,0.3,217.1,70.5,11.9,56.59
75,1.5,0.3,217.1,70.5,11.9,56.59
50,1.5,0.3,217.1,70.5,11.9,56.59
150,1.5,0.35,217.4,70.8,12.4,56.51
20,1.5,0.35,217.4,70.8,12.4,56.51
100,1.5,0.35,217.4,70.8,12.4,56.51
75,1.5,0.35,217.4,70.8,12.4,56.51
50,1.5,0.35,217.4,70.8,12.4,56.51
