# PLGA Optimization Results
# Drug: ropinirole
# Priority: size
# Min EE: 30.0%
# Max Size: 500.0 nm
# Date: 2026-04-06 09:00:41
# Total formulations evaluated: 448
#
polymer_MW (Da),LA/GA ratio,drug/polymer,Size (nm),EE (%),LC (%),Score
75000,2.0,0.2,168.9,31.5,8.6,66.23
50000,2.0,0.2,168.9,31.5,8.6,66.23
150000,2.0,0.2,168.9,31.5,8.6,66.23
30000,2.0,0.2,168.9,31.5,8.6,66.23
20000,2.0,0.2,168.9,31.5,8.6,66.23
100000,2.0,0.2,168.9,31.5,8.6,66.23
10000,2.0,0.2,168.9,31.5,8.6,66.23
150000,3.0,0.1,168.9,34.4,6.6,66.21
10000,3.0,0.1,168.9,34.4,6.6,66.21
50000,3.0,0.1,168.9,34.4,6.6,66.21
30000,3.0,0.1,168.9,34.4,6.6,66.21
75000,3.0,0.1,168.9,34.4,6.6,66.21
20000,3.0,0.1,168.9,34.4,6.6,66.21
100000,3.0,0.1,168.9,34.4,6.6,66.21
150000,2.0,0.35,169.0,31.5,10.6,66.2
10000,2.0,0.4,169.0,31.3,11.2,66.2
30000,2.0,0.4,169.0,31.3,11.2,66.2
10000,2.0,0.35,169.0,31.5,10.6,66.2
150000,2.0,0.4,169.0,31.3,11.2,66.2
100000,2.0,0.4,169.0,31.3,11.2,66.2
20000,2.0,0.4,169.0,31.3,11.2,66.2
20000,2.0,0.35,169.0,31.5,10.6,66.2
30000,2.0,0.35,169.0,31.5,10.6,66.2
50000,2.0,0.4,169.0,31.3,11.2,66.2
75000,2.0,0.35,169.0,31.5,10.6,66.2
50000,2.0,0.35,169.0,31.5,10.6,66.2
100000,2.0,0.35,169.0,31.5,10.6,66.2
75000,2.0,0.4,169.0,31.3,11.2,66.2
20000,1.0,0.25,170.0,35.4,9.8,66.0
100000,1.0,0.25,170.0,35.4,9.8,66.0
50000,1.0,0.25,170.0,35.4,9.8,66.0
75000,1.0,0.25,170.0,35.4,9.8,66.0
150000,1.0,0.25,170.0,35.4,9.8,66.0
30000,1.0,0.25,170.0,35.4,9.8,66.0
10000,1.0,0.25,170.0,35.4,9.8,66.0
